id,page_number,is_premium,title,topic_tags,difficulty,similar_questions,no_similar_questions,acceptance,accepted,submission,discussion_count,likes,dislikes,problem_URL
18,1,False,18. 4Sum,"['Array', 'Two Pointers', 'Sorting']",Medium,"[""['Two Sum'"", ""'3Sum'"", ""'4Sum II'"", ""'Count Special Quadruplets']""]",4.0,39.09162906593037,1451171,3712229,347,12461,1495,https://leetcode.com/problems/4sum/
19,1,False,19. Remove Nth Node From End of List,"['Linked List', 'Two Pointers']",Medium,"[""['Swapping Nodes in a Linked List'"", ""'Delete N Nodes After M Nodes of a Linked List'"", ""'Delete the Middle Node of a Linked List']""]",3.0,50.01659735891716,3781976,7561442,313,20620,876,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
20,1,False,20. Valid Parentheses,"['String', 'Stack']",Easy,"[""['Generate Parentheses'"", ""'Longest Valid Parentheses'"", ""'Remove Invalid Parentheses'"", ""'Check If Word Is Valid After Substitutions'"", ""'Check if a Parentheses String Can Be Valid'"", ""'Move Pieces to Obtain a String']""]",6.0,43.00735518031515,6677257,15525851,588,26727,1942,https://leetcode.com/problems/valid-parentheses/
21,1,False,21. Merge Two Sorted Lists,"['Linked List', 'Recursion']",Easy,"[""['Merge k Sorted Lists'"", ""'Merge Sorted Array'"", ""'Sort List'"", ""'Shortest Word Distance II'"", ""'Add Two Polynomials Represented as Linked Lists'"", ""'Longest Common Subsequence Between Sorted Arrays'"", ""'Merge Two 2D Arrays by Summing Values']""]",7.0,67.39649896536439,5665239,8405843,527,24121,2364,https://leetcode.com/problems/merge-two-sorted-lists/
22,1,False,22. Generate Parentheses,"['String', 'Dynamic Programming', 'Backtracking']",Medium,"[""['Letter Combinations of a Phone Number'"", ""'Valid Parentheses'"", ""'Check if a Parentheses String Can Be Valid']""]",3.0,77.75482145474012,2583962,3323217,235,22716,1058,https://leetcode.com/problems/generate-parentheses/
23,1,False,23. Merge k Sorted Lists,"['Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort']",Hard,"[""['Merge Two Sorted Lists'"", ""'Ugly Number II'"", ""'Smallest Subarrays With Maximum Bitwise OR']""]",3.0,57.84672139640862,2696404,4661300,346,20795,772,https://leetcode.com/problems/merge-k-sorted-lists/
24,1,False,24. Swap Nodes in Pairs,"['Linked List', 'Recursion']",Medium,"[""['Reverse Nodes in k-Group'"", ""'Swapping Nodes in a Linked List']""]",2.0,68.06854433422191,1744521,2562889,143,12793,497,https://leetcode.com/problems/swap-nodes-in-pairs/
25,1,False,25. Reverse Nodes in k-Group,"['Linked List', 'Recursion']",Hard,"[""['Swap Nodes in Pairs'"", ""'Swapping Nodes in a Linked List'"", ""'Reverse Nodes in Even Length Groups']""]",3.0,64.25033318472482,1356124,2110689,277,15138,783,https://leetcode.com/problems/reverse-nodes-in-k-group/
26,1,False,26. Remove Duplicates from Sorted Array,"['Array', 'Two Pointers']",Easy,"[""['Remove Element'"", ""'Remove Duplicates from Sorted Array II'"", ""'Apply Operations to an Array'"", ""'Sum of Distances']""]",4.0,61.316532369311496,6889678,11236253,972,17757,20184,https://leetcode.com/problems/remove-duplicates-from-sorted-array/
27,1,False,27. Remove Element,"['Array', 'Two Pointers']",Easy,"[""['Remove Duplicates from Sorted Array'"", ""'Remove Linked List Elements'"", ""'Move Zeroes']""]",3.0,60.70652544819802,4625463,7619386,830,4417,5080,https://leetcode.com/problems/remove-element/
28,1,False,28. Find the Index of the First Occurrence in a String,"['Two Pointers', 'String', 'String Matching']",Easy,"[""['Shortest Palindrome'"", ""'Repeated Substring Pattern']""]",2.0,45.63248236807104,3628130,7950766,457,7138,535,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/
29,1,False,29. Divide Two Integers,"['Math', 'Bit Manipulation']",Medium,['[]'],1.0,18.856519778373183,1030686,5465940,398,5848,15196,https://leetcode.com/problems/divide-two-integers/
30,1,False,30. Substring with Concatenation of All Words,"['Hash Table', 'String', 'Sliding Window']",Hard,"[""['Minimum Window Substring']""]",1.0,33.38980941309189,630438,1888115,264,2426,402,https://leetcode.com/problems/substring-with-concatenation-of-all-words/
31,1,False,31. Next Permutation,"['Array', 'Two Pointers']",Medium,"[""['Permutations'"", ""'Permutations II'"", ""'Permutation Sequence'"", ""'Palindrome Permutation II'"", ""'Minimum Adjacent Swaps to Reach the Kth Smallest Number']""]",5.0,43.97286344840201,2019362,4592304,396,20605,5038,https://leetcode.com/problems/next-permutation/
32,1,False,32. Longest Valid Parentheses,"['String', 'Dynamic Programming', 'Stack']",Hard,"[""['Valid Parentheses']""]",1.0,37.14241953813253,982139,2644259,140,13047,455,https://leetcode.com/problems/longest-valid-parentheses/
33,1,False,33. Search in Rotated Sorted Array,"['Array', 'Binary Search']",Medium,"[""['Search in Rotated Sorted Array II'"", ""'Find Minimum in Rotated Sorted Array'"", ""'Pour Water Between Buckets to Make Water Levels Equal']""]",3.0,43.50177648641152,3944322,9067040,487,28955,1750,https://leetcode.com/problems/search-in-rotated-sorted-array/
34,1,False,34. Find First and Last Position of Element in Sorted Array,"['Array', 'Binary Search']",Medium,"[""['First Bad Version'"", ""'Plates Between Candles'"", ""'Find Target Indices After Sorting Array']""]",3.0,47.61131450944784,2944715,6184907,325,22504,606,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
35,1,False,35. Search Insert Position,"['Array', 'Binary Search']",Easy,"[""['First Bad Version'"", ""'Minimum Operations to Exceed Threshold Value I']""]",2.0,49.85785150428714,4198060,8420060,373,18061,856,https://leetcode.com/problems/search-insert-position/
36,1,False,36. Valid Sudoku,"['Array', 'Hash Table', 'Matrix']",Medium,"[""['Sudoku Solver'"", ""'Check if Every Row and Column Contains All Numbers']""]",2.0,63.5673609848693,2255414,3548074,302,12113,1241,https://leetcode.com/problems/valid-sudoku/
37,1,False,37. Sudoku Solver,"['Array', 'Hash Table', 'Backtracking', 'Matrix']",Hard,"[""['Valid Sudoku'"", ""'Unique Paths III']""]",2.0,65.2664024783004,925100,1417422,251,10767,327,https://leetcode.com/problems/sudoku-solver/
38,1,False,38. Count and Say,['String'],Medium,"[""['Encode and Decode Strings'"", ""'String Compression']""]",2.0,61.44299547146191,1303608,2121655,343,4937,8956,https://leetcode.com/problems/count-and-say/
